,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
0,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
1,2,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
2,3,Blueberry Fergo,Lil Monet,https://open.spotify.com/track/6CrMU5zXlKNGsipNhiu7hN,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
3,4,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
4,5,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
5,6,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
6,7,When There Was Me and You,Joshua Bassett,https://open.spotify.com/track/0vS9Gkt1dAT2PBBiaPqcA4,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
7,8,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
8,9,Crunk Ain't Dead,Duke Deuce,https://open.spotify.com/track/4RsTfAuTiUyL7GKGPiNC0w,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
9,10,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
10,11,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
11,12,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
12,13,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
13,14,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
14,15,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
15,16,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
16,17,Futsal Shuffle 2020,Lil Uzi Vert,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
17,18,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
18,19,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
19,20,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
20,21,Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
21,22,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
