Position,"Track Name",Artist,URL
1,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
2,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
3,"Miss Me","Joseph Black",https://open.spotify.com/track/5y6wOadQ0RZfGZkOey0deO
4,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
5,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
6,"I'm Yer Dad",GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU
7,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,"The Gambler","Kenny Rogers",https://open.spotify.com/track/5KqldkCunQ2rWxruMEtGh0
9,"Vibe (If I Back It Up)","Cookiee Kawaii",https://open.spotify.com/track/4gOgQTv9RYYFZ1uQNnlk3q
10,Comatose,jxdn,https://open.spotify.com/track/1FIv5SzIBWmCF5Xmt8N6BD
11,"After Hours","The Weeknd",https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
12,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
13,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"WHATS POPPIN","Jack Harlow",https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
15,PTSD,"G Herbo",https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
16,"3 Vets","The Future Kingz",https://open.spotify.com/track/6t3sBdc5SbMlk5AyGvMei2
17,"She Gon Go","Trill Ryan",https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe
18,FRIENDS,"LAUNDRY DAY",https://open.spotify.com/track/3usbnvDFtOhY09cRNar8Zg
19,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
20,"Through The Years - Single Version","Kenny Rogers",https://open.spotify.com/track/4pP5xVUYEZljcmfyYFQXsx
21,"CITY OF ANGELS",24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
22,"My Heart Went Oops",Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO
23,Safaera,"Bad Bunny",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
24,"We've Got Tonight","Kenny Rogers",https://open.spotify.com/track/5vXsj8L4DK1gGQ43BBG028
25,"Blueberry Faygo","Lil Mosey",https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
26,"Islands in the Stream","Dolly Parton",https://open.spotify.com/track/6apPqjW8ezpKEicAkkBlvO
27,Lady,"Kenny Rogers",https://open.spotify.com/track/5Pj5zrq2nbKcAekH1AxbrO
28,"My Truck",BRELAND,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
29,"Coward Of The County","Kenny Rogers",https://open.spotify.com/track/0JkIre0YxNmKGMU5V7ZiDx
30,"If the World Was Ending - feat. Julia Michaels","JP Saxe",https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
31,"Walked In",Ultradiox,https://open.spotify.com/track/1tRlGMHsf21FDo6pja27YN
32,"That Way - Bonus Track","Lil Uzi Vert",https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
33,Rojo,"J Balvin",https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
34,Lucille,"Kenny Rogers",https://open.spotify.com/track/15ADURMdkO25JGD5mIcodM
35,"Si Veo a Tu Mamá","Bad Bunny",https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
36,Psycho!,MASN,https://open.spotify.com/track/5LKkteRQ1wWv7XCIEA5F2q
37,"Drop 'Em Out","Wheeler Walker Jr.",https://open.spotify.com/track/0imfNymwLWKyhLBlBZYg53
38,Trust,"Brent Faiyaz",https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
39,"Love Will Turn You Around","Kenny Rogers",https://open.spotify.com/track/1M2a5TNHqmr2zXZZcB7xTe
40,"Ruby Don't Take Your Love to Town","Kenny Rogers & The First Edition",https://open.spotify.com/track/55JrQ3cHaR9lWGnmAZ0sGy
41,"You Can't Make Old Friends - Duet with Dolly Parton","Kenny Rogers",https://open.spotify.com/track/48Xp0fGOluD1NJmHOeYFg5
42,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
43,"It's The End Of The World As We Know It (And I Feel Fine)",R.E.M.,https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku
44,"Dragonball Durag",Thundercat,https://open.spotify.com/track/62PclpoBFLl50PJpiJA5RT
45,Selfish,"Madison Beer",https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
46,"Boss Bitch","Doja Cat",https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
47,"She Believes In Me","Kenny Rogers",https://open.spotify.com/track/5ggOAMsJCAYDHnyoqJ0xAD
48,"Just Dropped In (To See What Condition My Condition Was In)","The First Edition",https://open.spotify.com/track/4Wrc3Jz4POj0ibPj5iuq0r
49,"You Decorated My Life","Kenny Rogers",https://open.spotify.com/track/6SFeCisbYSqaQwL9hucoF2
50,"I Do","Astrid S",https://open.spotify.com/track/6yKkgZBuakFy6SPtsZBR5H
