,Unnamed: 0,Unnamed: 0.1,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
0,0,0,1,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,3QJUFtGBGL05vo0kCJZsmT,alt z,modern indie pop,social media pop
1,1,1,2,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,4kYSro6naA4h99UJvo89HB,pop,pop rap,post-teen pop
2,2,2,3,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,6fWVd57NKTalqvmjRd2t8Z,cali rap,unspecified,unspecified
3,3,3,4,3 Musketeers,NextYoungin,https://open.spotify.com/track/57Oi4yqY27uJzCyqFWIP5q,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,2u1aL8XADqj0nJFHMKRjNw,viral rap,unspecified,unspecified
4,4,4,5,Backyard Boy,Claire Rosinkranz,https://open.spotify.com/track/0QpOqKz66ZxHNqj2PPHiFF,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,3V0ZQW0dNuVaFtbVYgSI24,modern indie pop,unspecified,unspecified
5,5,5,6,F2020,Avenue Beat,https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,1htYtUdXVMwR6HCSs821Lc,alt z,unspecified,unspecified
6,6,6,7,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,5yw4tA8D5uG7tT3NaDvq10,social media pop,unspecified,unspecified
7,7,7,8,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,7cSbcJTJBBSXDjRNR2qD61,unspecified,unspecified,unspecified
8,8,8,9,my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,6TIYQ3jFPwQSRmorSezPxX,ohio hip hop,pop rap,unspecified
9,9,9,10,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,1r4hJ1h58CWwUQe3MxPuau,latin,reggaeton,reggaeton colombiano
10,10,10,11,Overwhelmed,Royal & the Serpent,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,64EHXDoln95lnccszdPum0,alt z,indie electropop,modern alternative pop
11,11,11,12,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
12,12,12,13,Banks,NEEDTOBREATHE,https://open.spotify.com/track/49UfoZosKBdiE9D1aR3ErY,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,610EjgFatGvVPtib97jQ8G,acoustic pop,ccm,christian alternative rock
13,13,13,14,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,2kCO8LXN1usaOPL3iEE28I,modern indie pop,unspecified,unspecified
14,14,14,15,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,2u1aL8XADqj0nJFHMKRjNw,viral rap,unspecified,unspecified
15,15,15,16,Brace Yourself,zenorachi,https://open.spotify.com/track/6YMjTao59i1kRdmYlB33N8,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0LSJVfOGq9hf7G9qKAyOug,viral rap,unspecified,unspecified
16,16,16,17,Just About Over You,Priscilla Block,https://open.spotify.com/track/6VzJCMOzVbvb25LPYQviM5,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,6BpvASijzSWj7gnZD4Dvf1,contemporary country,country pop,unspecified
17,17,17,18,PJ,ppcocaine,https://open.spotify.com/track/1qxnmVbl8To9W9BcbTS8yC,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,2u1aL8XADqj0nJFHMKRjNw,viral rap,unspecified,unspecified
18,18,18,19,Coochie,YN Jay,https://open.spotify.com/track/2UM09BKxJ3NM8qNxzNSdXV,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,3gIWD9hK0VEhgsSrLu19PU,flint hip hop,viral rap,unspecified
19,19,19,20,Surf Swag,Lil Wayne,https://open.spotify.com/track/56ehF3tXMjwLJkAmuKzRE2,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,55Aa2cqylxrFIXC767Z865,hip hop,new orleans rap,pop rap
20,20,20,21,Put Your Records On,Ritt Momney,https://open.spotify.com/track/1fah1uAs7HeTYDlNftKr3K,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,7MPGCB854Qo4alYMOPkBka,bedroom pop,unspecified,unspecified
21,21,21,22,Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,24D8gx0257CDd1HAuqNuHu,viral rap,unspecified,unspecified
22,22,22,23,Hai Domo,Cao White,https://open.spotify.com/track/5vOwis62qEz4avzkppHHL5,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,7Ifh6z0Ibeuqmtf6RnGt2w,glitchcore,unspecified,unspecified
23,23,23,24,Buss It,Erica Banks,https://open.spotify.com/track/6NWdgyVsjp2bJ11PToXCr1,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,2SXhbucehn00OBVKhzxDyM,trap queen,viral rap,unspecified
24,24,24,25,Pussy Talk,City Girls,https://open.spotify.com/track/5EzL7hGT9g2Tvqsy158Lu9,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,37hAfseJWi0G3Scife12Il,dance pop,pop,pop rap
25,25,25,26,Mood Swings (feat. Lil Tjay),Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill,unspecified,unspecified
