Position,"Track Name",Artist,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,"Stuck in the Middle","Tai Verdes",https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW
3,"Then Leave (feat. Queendom Come)",BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8
4,"Stunnin' (feat. Harm Franklin)","Curtis Waters",https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
5,"In This Shirt","The Irrepressibles",https://open.spotify.com/track/60mItLdFl6xkYc1sAjlZlf
6,"Hood Baby",KBFR,https://open.spotify.com/track/5au5NgWCdev4WeLRB3YEOR
7,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ
8,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/5MAK1nd8R6PWnle1Q1WJvh
9,"Volcano Man","Will Ferrell",https://open.spotify.com/track/5j5THOJJaBw3NoQy3zo9Py
10,"God Bless The U.S.A.","Lee Greenwood",https://open.spotify.com/track/623lYBOJ7bLwh1bu3yeN5V
11,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
12,Renee,SALES,https://open.spotify.com/track/5MeUMSRreLHYLhw8ZTyqpk
13,"GO (feat. Juice WRLD)","The Kid LAROI",https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
14,"Como Llora",Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
15,"The Man Who Loves You The Most","Zac Brown Band",https://open.spotify.com/track/58DvikiJcEjow3Skg80yxX
16,"Make It Rain (feat. Rowdy Rebel)","Pop Smoke",https://open.spotify.com/track/71d7LaAgPcNcUopu3OzmP7
17,"You'll Be Back","Jonathan Groff",https://open.spotify.com/track/6OG1S805gIrH5nAQbEOPY3
18,"America The Beautiful","Ray Charles",https://open.spotify.com/track/04f3ea1BQlVrhhmxS0qMDH
19,"The Bigger Picture","Lil Baby",https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
20,"Rags2Riches (feat. ATR Son Son)","Rod Wave",https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
21,"Djadja (feat. Maluma) - Remix","Aya Nakamura",https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
22,"Both Of Us - Edit","Jayda G",https://open.spotify.com/track/75rGONmoi48LLYBFaGiYsv
23,"Do It","Chloe x Halle",https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
24,"Don't Rush (feat. DaBaby)","Young T & Bugsey",https://open.spotify.com/track/3AMxuq6id3YGB57eWeheZQ
25,"Prospect (ft. Lil Baby)","iann dior",https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt
26,Satisfied,"Renée Elise Goldsberry",https://open.spotify.com/track/3dP0pLbg9OfVwssDjp9aT0
