Position,"Track Name",Artist,URL
1,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
2,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
3,"Con Tus Besos","Eslabon Armado",https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
4,LMK,"Lil Xxel",https://open.spotify.com/track/0efL46uAuNEfukXQYsbPlX
5,Yoga,645AR,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq
6,"Rockstar Shit",BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII
7,"Desires (with Future)",Drake,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq
8,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
9,"IDK You Yet","Alexander 23",https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
10,"Don't Rush (feat. Headie One)","Young T & Bugsey",https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
11,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
12,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
13,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
15,"LEMONS - Demo",Brye,https://open.spotify.com/track/5ukAQcKEIJuzIbP55xp07x
16,"It's You (I've Been Looking for)","Lewis Brice",https://open.spotify.com/track/3CetlHFPPW1SF9mQB7fKti
17,"Level of Concern","Twenty One Pilots",https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
18,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
19,XS,"Rina Sawayama",https://open.spotify.com/track/3OK3uq0udXEDfEo7bvpNHW
20,"(i hope you) miss me","Joseph Black",https://open.spotify.com/track/1Zv2jT7iZu98Feqpzhn0nd
21,"Toosie Slide",Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
22,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
23,"After Party","Don Toliver",https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
24,Finesse,"Bryson Tiller",https://open.spotify.com/track/4VjGRnrVnqy5eN45aokIzT
25,"El Envidioso","Los Dos Carnales",https://open.spotify.com/track/3cExeifTyKQSMLLwG70wIo
26,War,Drake,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i
27,"The Blessing (Live)","Elevation Worship",https://open.spotify.com/track/5O306r2a9Nl7rm5ZlaTqka
28,"Break Things","Kylie Morgan",https://open.spotify.com/track/45hbxz8xCxQfa9vmnV187v
29,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
30,"Graves Into Gardens (Live)","Elevation Worship",https://open.spotify.com/track/4wc8FpW9XCUaoxtii3CiCf
31,"Hung Up On You","Troy Cartwright",https://open.spotify.com/track/7uokjCoYFxSdgcq53GNWhJ
32,Mariposa,"Peach Tree Rascals",https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
33,"Still Softish","Josh Richards",https://open.spotify.com/track/2twKCCzVkqTr7MKEbv3tcj
34,"Someone Else",Rezz,https://open.spotify.com/track/4hR3hQKELrARHNZJ51D14s
35,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
36,Tuff,"Jaah SLT",https://open.spotify.com/track/206FddKOYYxN6k2gCKUsFg
37,"I'm Yer Dad",GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU
38,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
39,Josslyn,"Olivia O'Brien",https://open.spotify.com/track/0UhKDHeZw2kHOz9HiRNFBH
40,Surrender,"Natalie Taylor",https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
41,"Por Tu Culpa","Porte Diferente",https://open.spotify.com/track/72jvp2nP4zstRmFdhyWgGu
42,"Six Feet Apart","Alec Benjamin",https://open.spotify.com/track/22AJMMJMaQ3qtTwlegrKcm
43,"Kuntry & Wistern","Koe Wetzel",https://open.spotify.com/track/3GcZ6JWVoyqtTZS3BS47vI
44,Favorito,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
45,"Outta There",Moe,https://open.spotify.com/track/6QlKONDgjp9JqcthAtDlKk
46,"Boys Ain't Shit (feat. Tate McRae & Audrey Mika)",SAYGRACE,https://open.spotify.com/track/7tMEUrMaMzE0YptCGfsXzt
47,"Why Is Everything Chrome (Lean Swag Rock Wit It)","King Critical",https://open.spotify.com/track/0wQL4dv6dQjuiGdmJIjRCu
48,"Left Hand Free",alt-J,https://open.spotify.com/track/4iEOVEULZRvmzYSZY2ViKN
49,"Sirius - Chicago Bulls Theme Song","The Alan Parsons Project",https://open.spotify.com/track/4OV0sRTFrZLXaZZ1sS9hLn
50,Comatose,jxdn,https://open.spotify.com/track/1FIv5SzIBWmCF5Xmt8N6BD
