Position,"Track Name",Artist,URL
1,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
2,"Trump Is Your President","Bryson Gray",https://open.spotify.com/track/3PdQfXbIuEjUoNlCy6JQCM
3,"Die Very Rough","Mario Judah",https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff
4,"Touch You",遠野高志,https://open.spotify.com/track/6qWEpnyU43Bcrx3vfbGuVm
5,"Monster Mash","Bobby ""Boris"" Pickett",https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
6,Whoopty,CJ,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
7,"Deep End",Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
8,"HIT EM WHERE IT HURTS","PawPaw Rod",https://open.spotify.com/track/63e35wfL6GMUp0boIvNBhw
9,"Drip Like ME",Kenndog,https://open.spotify.com/track/5lNsNowjCKqgafSWE7Ie2Z
10,moment,"Vierre Cloud",https://open.spotify.com/track/2JKIYl8KaAMzOR1dIzEO5f
11,"Dirt Road","Kidd G",https://open.spotify.com/track/3azaE9S4YBYOuKmZu2TZrV
12,"Spooky, Scary Skeletons - Undead Tombstone Remix","Andrew Gold",https://open.spotify.com/track/1sUdq3kWa9dJXHu3eYOUll
13,"This Is Halloween","The Citizens of Halloween",https://open.spotify.com/track/0yURuYmnz9tl4K04e5Y6aQ
14,"Cat Girls Are Ruining My Life!",CORPSE,https://open.spotify.com/track/4SPBwOTXgku4QvmRtMEGfW
15,"Miss YOU!",CORPSE,https://open.spotify.com/track/3pXVmZh293nWtqxildz9jf
16,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/0jdso14vaFnpRazMLEZovF
17,"The Crypt Jam","The Crypt Keeper",https://open.spotify.com/track/21zjT55VHzq3PHc2CQlAeJ
18,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
19,Ghostbusters,"Ray Parker Jr.",https://open.spotify.com/track/6thXB4RmajS4oZPNiBAKy0
20,"Papi Chulo",Octavian,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
21,"Put Your Records On","Ritt Momney",https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
22,FDT,YG,https://open.spotify.com/track/6k0DJqW2v2e4809Z1zN0YU
23,"Halloween Theme - Main Title","John Carpenter",https://open.spotify.com/track/7swocJUCUWTCiRUAU9oerC
24,"No Eres La Oficial","David Santos",https://open.spotify.com/track/7LYWPZL216dyiN02mjefro
25,"Time Warp","Little Nell",https://open.spotify.com/track/4WFeJTXNHIS2wURtwlAkhu
26,"Pull Up","LMB DG",https://open.spotify.com/track/6NwyHRfUVnUBUZW9W5McAZ
27,"Gone Too Soon","Andrew Jannakos",https://open.spotify.com/track/07mnxqYqssab1EEBynCuQ4
28,"White Tee",CORPSE,https://open.spotify.com/track/3qdRwIwWa5nVZnNp43uYrx
29,"Never Satisfied",CORPSE,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR
30,"Demons and Monsters",347aidan,https://open.spotify.com/track/6pgSQuEY2hJhRkC4YpZfJQ
31,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
32,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
33,"A Nightmare on My Street","DJ Jazzy Jeff & The Fresh Prince",https://open.spotify.com/track/2aRjuScpka878tUWOsLYpQ
34,"The Purple People Eater","Sheb Wooley",https://open.spotify.com/track/0WkZQPNC0c7yrsMX1arVAd
35,"I Put a Spell On You","Screamin' Jay Hawkins",https://open.spotify.com/track/3sLhMSePzxSrmxluIqeoAZ
36,"Levitating (feat. DaBaby)","Dua Lipa",https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
37,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
38,"Fire for You",Cannons,https://open.spotify.com/track/4o0LyB69tylqDG6eTGhmig
39,"At My Worst","Pink Sweat$",https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
40,"Throat Baby (Go Baby)","BRS Kash",https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe
41,"Cigarette Ahegao","Penelope Scott",https://open.spotify.com/track/6UYJYgY8VRo6mKrhgTe1CF
42,Sofia,Clairo,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
43,"Make A Wish (Birthday Song)","NCT U",https://open.spotify.com/track/6FdShjf7nA2cqEnpv1tIia
44,"Everyday Is Like Halloween",Ministry,https://open.spotify.com/track/6qmY21MWIcAEPf9G80wKfb
45,"Susurro Riddim",LASTMONDAY,https://open.spotify.com/track/1mGxiXPxKIuItW4D2eVgjI
46,"Onna Come Up","Lil Eazzyy",https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
47,"Calling All the Monsters","China Anne McClain",https://open.spotify.com/track/0hnHoQbEQOL4YUZ4SO6xbe
48,"Halloween - Mix-O-Lydian 1981",Misfits,https://open.spotify.com/track/5QOvYYp7yRSY6LP7Vm48br
49,Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
50,"Spooky, Scary Skeletons","Andrew Gold",https://open.spotify.com/track/23V08GxMeaZNSf8Gy6KF6t
