Position,"Track Name",Artist,URL
1,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
2,"Then Leave (feat. Queendom Come)",BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8
3,"Stunnin' (feat. Harm Franklin)","Curtis Waters",https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
4,"Hood Baby",KBFR,https://open.spotify.com/track/5au5NgWCdev4WeLRB3YEOR
5,"Hard For Me","Michele Morrone",https://open.spotify.com/track/00PesUdTmC3Y5xtZbZND0p
6,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ
7,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
8,"Como Llora",Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
9,"Do It","Chloe x Halle",https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
10,"SAD - Imanbek xxx Remix",Rasster,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E
11,"Both Of Us - Edit","Jayda G",https://open.spotify.com/track/75rGONmoi48LLYBFaGiYsv
12,Control,"Zoe Wees",https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
13,"Prospect (ft. Lil Baby)","iann dior",https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt
14,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
15,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
16,"i don’t really like your boyfriend","Avenue Beat",https://open.spotify.com/track/6eqBr4nAQCVIbUbE8IBDP1
17,Renee,SALES,https://open.spotify.com/track/5MeUMSRreLHYLhw8ZTyqpk
18,Body,"Jordan Suaste",https://open.spotify.com/track/6wQgV6ZYt1snXyQV69mGT4
19,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
20,"We Paid (feat. 42 Dugg)","Lil Baby",https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
21,"Time (You and I)",Khruangbin,https://open.spotify.com/track/4fMIe4htuvA8RoygYDFqO5
22,Mariposa,"Peach Tree Rascals",https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
23,Kolors,"Monte Booker",https://open.spotify.com/track/4IOYk6epkzXT38U4ShauZ6
24,"Some Say - Felix Jaehn Remix",Nea,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
25,HAHA,"Lil Darkie",https://open.spotify.com/track/18Gcl5bxdd8bpBhWOj1rCR
26,"Roses Remix (feat. Future)","SAINt JHN",https://open.spotify.com/track/1KyZ4rUiW2lkqGNLQYKpcC
27,"Fishy on me",Kingmichaelbeats,https://open.spotify.com/track/4XLYrsusXIYd1XLSbz24vy
28,"Angels & Demons",jxdn,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
29,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
30,"Figure It Out","Blu DeTiger",https://open.spotify.com/track/5G5qyRHlLmZgy915TBTCkB
31,"Go Crazy","Chris Brown",https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
32,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
33,"ATL Freestyle",6LACK,https://open.spotify.com/track/3Isj85ak2yj4EndfKFGs9x
34,"So We Won't Forget",Khruangbin,https://open.spotify.com/track/6dw8ETrtlFSrkzw6W8cWxN
35,"Single Saturday Night","Cole Swindell",https://open.spotify.com/track/1irAliF0T8sLIOPJp6n7rU
36,Tú,"Carin Leon",https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
37,"Tinted Eyes (feat. blackbear & 24kGoldn)",DVBBS,https://open.spotify.com/track/68UW3plyDDNg1dkNIZRezJ
38,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
39,"As the World Caves In","Matt Maltese",https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD
40,"TKN (feat. Travis Scott)",ROSALÍA,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
41,"Dance with Me (feat. Thomas Rhett & Young Thug)",Diplo,https://open.spotify.com/track/6wXgnhpmOPEJ7cUweSyy2B
42,"Shhh (Pew Pew)","Young Fanatic",https://open.spotify.com/track/0gRHMoKnlm3FHL2YrwfE3w
43,"Con Tus Besos","Eslabon Armado",https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
44,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
45,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
46,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
47,Heather,"Conan Gray",https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
48,"Watermelon Sugar","Harry Styles",https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
49,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
50,"Song About You","Sam Grow",https://open.spotify.com/track/5gRsliQqZLc4tv688SE3wB
