Position,"Track Name",Artist,URL
1,"Gdzie jest biały węgorz ? (Zejście)",Cypis,https://open.spotify.com/track/4fNbS43X6yt4iWxLgRqwKa
2,FDT,YG,https://open.spotify.com/track/6k0DJqW2v2e4809Z1zN0YU
3,"Oh No",Kreepa,https://open.spotify.com/track/4qBMiRsJjtm1WR4KyAQqrX
4,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
5,"Touch You",遠野高志,https://open.spotify.com/track/6qWEpnyU43Bcrx3vfbGuVm
6,"Die Very Rough","Mario Judah",https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff
7,"Adderall (Corvette Corvette)","Popp Hunna",https://open.spotify.com/track/3aAmQOxRPeKDL0HMWFA5qn
8,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
9,Rät,"Penelope Scott",https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v
10,"Fuck Donald Trump",Tamu,https://open.spotify.com/track/00aRveHhOMrCvozhPTKtQj
11,"Deep End",Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
12,moment,"Vierre Cloud",https://open.spotify.com/track/2JKIYl8KaAMzOR1dIzEO5f
13,"HIT EM WHERE IT HURTS","PawPaw Rod",https://open.spotify.com/track/63e35wfL6GMUp0boIvNBhw
14,"Don't Worry (Clappers)","Slimelife Shawty",https://open.spotify.com/track/5LRKPn8fgSZT5e4YHDWng3
15,"Drip Like ME",Kenndog,https://open.spotify.com/track/5lNsNowjCKqgafSWE7Ie2Z
16,"FDT - Pt. 2",YG,https://open.spotify.com/track/6ZcCLhMqQEZEzsDhhS767O
17,"Took Her To The O","King Von",https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW
18,Canceled,Larray,https://open.spotify.com/track/3VxOgQ9o1aKonFx4d5lPR3
19,"Trump Is Your President","Bryson Gray",https://open.spotify.com/track/3PdQfXbIuEjUoNlCy6JQCM
20,"No Eres La Oficial","David Santos",https://open.spotify.com/track/7LYWPZL216dyiN02mjefro
21,"Producer Man","Lyn Lapid",https://open.spotify.com/track/5BArc3UpONi77FMkNT4LYU
22,"Dirt Road","Kidd G",https://open.spotify.com/track/3azaE9S4YBYOuKmZu2TZrV
23,Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
24,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/0jdso14vaFnpRazMLEZovF
25,"You’re Mines Still (feat. Drake)","Yung Bleu",https://open.spotify.com/track/7E2C5rBLpCKwQlhJPVFBRS
26,"Papi Chulo",Octavian,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
27,"Lonely (with benny blanco)","Justin Bieber",https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
28,"Deep End - SIDEPIECE Remix","John Summit",https://open.spotify.com/track/5WNa0eaGNwQ1ZXTHVlULpd
29,"Miss YOU!",CORPSE,https://open.spotify.com/track/3pXVmZh293nWtqxildz9jf
30,"Cigarette Ahegao","Penelope Scott",https://open.spotify.com/track/6UYJYgY8VRo6mKrhgTe1CF
31,"Cat Girls Are Ruining My Life!",CORPSE,https://open.spotify.com/track/4SPBwOTXgku4QvmRtMEGfW
32,"Put Your Records On","Ritt Momney",https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
33,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
34,"Fire for You",Cannons,https://open.spotify.com/track/4o0LyB69tylqDG6eTGhmig
35,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
36,"Trap Anthem","MC Virgins",https://open.spotify.com/track/0CJgUQ8UemK2htS73Ye5U8
37,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
38,"At My Worst","Pink Sweat$",https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
39,"Throat Baby (Go Baby)","BRS Kash",https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe
40,"White Tee",CORPSE,https://open.spotify.com/track/3qdRwIwWa5nVZnNp43uYrx
41,BOO!,Championxiii,https://open.spotify.com/track/1eDyjPYw65g3wvQ7xJLF5c
42,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
43,Sofia,Clairo,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
44,"Crazy Story","Only The Family",https://open.spotify.com/track/5i0eJv1DzuyhaYnro4wTKg
45,"Take Me Where Your Heart Is",Q,https://open.spotify.com/track/62kHSw6wBh4c6UemJCb5p6
46,"Levitating (feat. DaBaby)","Dua Lipa",https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
47,"Why Not?",LOONA,https://open.spotify.com/track/6yGQ86UppYULzTCxAWgwVN
48,"Crazy Story, Pt. 3","King Von",https://open.spotify.com/track/23TwR29GSeJBfXnXhmDlwR
49,"Stars in The Sky (feat. Jhené Aiko)",Phora,https://open.spotify.com/track/5ziNnhZ1hK100fIUvkDZUH
50,"Never Satisfied",CORPSE,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR
