Position,"Track Name",Artist,URL
1,"No Wind Resistance!",Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP
2,"Put Your Records On","Ritt Momney",https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
3,"M to the B","Millie B",https://open.spotify.com/track/1meosvrJFk4xXo1HwUIasC
4,F-150,"Robyn Ottolini",https://open.spotify.com/track/0JSxnF1JmC8LblMhrovm6K
5,"Mad at Disney","salem ilese",https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
6,"Lets Link",WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5
7,"Edge of Great (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)","Julie and the Phantoms Cast",https://open.spotify.com/track/1e2ofLpE40cjEeMENP7pzv
8,"This Side of Paradise","Coyote Theory",https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i
9,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
10,"You Got It",Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
11,September,"Earth, Wind & Fire",https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
12,"Upside Down",JVKE,https://open.spotify.com/track/614OkajfRPH8V0ugNQnduP
13,"Throat Baby (Go Baby)","BRS Kash",https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe
14,THICK,"DJ Chose",https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie
15,"Whole Lotta Choppas","Sada Baby",https://open.spotify.com/track/6hLZzCS4E7AWo3PRBWy6az
16,"Mood (feat. iann dior)",24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
17,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
18,Michelle,"Sir Chloe",https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI
19,"Stuck in the Middle","Tai Verdes",https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW
20,"Jerusalema (feat. Nomcebo Zikode)","Master KG",https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
21,"Onna Come Up","Lil Eazzyy",https://open.spotify.com/track/0s8QrhtXW1Av2tuLLerDjN
22,"Starting Over","Chris Stapleton",https://open.spotify.com/track/3TNSVsiFngfe68UJpMq1oS
23,"WAP (feat. Megan Thee Stallion)","Cardi B",https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
24,"GIVE HEAVEN SOME HELL",HARDY,https://open.spotify.com/track/2bVeUlOC5JjTpkQXuUUoYm
25,Dynamite,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
26,BOYFRIEND,HARDY,https://open.spotify.com/track/5M8ExcJIACOWCEgPfNZNn8
27,"24 (feat. Lil Baby)","Money Man",https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
28,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya
29,Overwhelmed,"Royal & the Serpent",https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y
30,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
31,"Things A Man Oughta Know","Lainey Wilson",https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx
32,Heather,"Conan Gray",https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
33,"Head & Heart (feat. MNEK)","Joel Corry",https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
34,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,https://open.spotify.com/track/5woaU1FNkqCwg6WzWiQPW5
35,"Pegao / Me Miro y La Mire (TikTok Hit)",Omega,https://open.spotify.com/track/4Pzk85DqWoLqptyA5IlhLk
36,"Ice Cream (with Selena Gomez)",BLACKPINK,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
37,"Eyes Blue Like The Atlantic (feat. Subvrbs)","Sista Prod",https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1
38,Nightlight,ILLENIUM,https://open.spotify.com/track/06kxa3al7bUqRRo5nAFduZ
39,"Mr Loverman","Ricky Montgomery",https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt
40,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
41,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
42,"Don't Need Time - Remix",Hotboii,https://open.spotify.com/track/43LKpvgZhQ7HwFYYKxqDki
43,"Funny Thing",Thundercat,https://open.spotify.com/track/1c5CllrZr45UBhWpIqM332
44,冬のはなし,ギヴン,https://open.spotify.com/track/3VrKkcEm7RYXBI9RLv7SL7
45,F2020,"Avenue Beat",https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg
46,"ALL GIRLS ARE THE SAME",RØNIN,https://open.spotify.com/track/4xhWfr0tyA7BGL7eXo8KnV
47,"Wrap Me In Plastic - Marcus Layton Radio Edit",CHROMANCE,https://open.spotify.com/track/3n2P3ipLt5mPFVaM0fJHNR
48,"People So Stupid","Tom MacDonald",https://open.spotify.com/track/3rjJAqZWPjDhsTkCmc2HcY
49,"Mi Cuarto","Jerry Di",https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
50,Promises,"Maverick City Music",https://open.spotify.com/track/0aZFEiDKLK2B4gzPaGCZVm
