Position,"Track Name",Artist,URL
1,"Die Very Rough","Mario Judah",https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff
2,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
3,"Drip Like ME",Kenndog,https://open.spotify.com/track/5lNsNowjCKqgafSWE7Ie2Z
4,Whoopty,CJ,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
5,"HIT EM WHERE IT HURTS","PawPaw Rod",https://open.spotify.com/track/63e35wfL6GMUp0boIvNBhw
6,"Cat Girls Are Ruining My Life!",CORPSE,https://open.spotify.com/track/4SPBwOTXgku4QvmRtMEGfW
7,"Dirt Road","Kidd G",https://open.spotify.com/track/3azaE9S4YBYOuKmZu2TZrV
8,"Deep End",Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
9,"Miss YOU!",CORPSE,https://open.spotify.com/track/3pXVmZh293nWtqxildz9jf
10,"Monster Mash","Bobby ""Boris"" Pickett",https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
11,"White Tee",CORPSE,https://open.spotify.com/track/3qdRwIwWa5nVZnNp43uYrx
12,"Put Your Records On","Ritt Momney",https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
13,"Never Satisfied",CORPSE,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR
14,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/0jdso14vaFnpRazMLEZovF
15,"Coconut Mall (From ""Mario Kart Wii"")","Arcade Player",https://open.spotify.com/track/1SOTqkhpIWoLX1AS9Y2RpU
16,"Demons and Monsters",347aidan,https://open.spotify.com/track/6pgSQuEY2hJhRkC4YpZfJQ
17,"Papi Chulo",Octavian,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
18,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
19,"Onna Come Up","Lil Eazzyy",https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
20,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
21,"Gone Too Soon","Andrew Jannakos",https://open.spotify.com/track/07mnxqYqssab1EEBynCuQ4
22,"Spooky, Scary Skeletons - Undead Tombstone Remix","Andrew Gold",https://open.spotify.com/track/1sUdq3kWa9dJXHu3eYOUll
23,Sofia,Clairo,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
24,"White Tee - Alternate Bass Boosted Version",CORPSE,https://open.spotify.com/track/3AQdBQPDyHQpEauct5Fiu6
25,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
26,damn!,"Jeris Johnson",https://open.spotify.com/track/4JuYtPKJJk0HobzktzN4Qg
27,"Pull Up","LMB DG",https://open.spotify.com/track/6NwyHRfUVnUBUZW9W5McAZ
28,"Throat Baby (Go Baby)","BRS Kash",https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe
29,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
30,THICK,"DJ Chose",https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie
31,"Levitating (feat. DaBaby)","Dua Lipa",https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
32,"Cabin Fever",CORPSE,https://open.spotify.com/track/5cCpq6EJqI8dgz8FwE7gk3
33,"Better Together","Luke Combs",https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
34,anything,"Adrianne Lenker",https://open.spotify.com/track/071qRwwXf5R2VH7UZvJZV0
35,"At My Worst","Pink Sweat$",https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
36,"Things I Can't Say (feat. Julia Cole)","Spencer Crandall",https://open.spotify.com/track/3kdQfsfmWiLbPFrcdvhSYg
37,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
38,Michelle,"Sir Chloe",https://open.spotify.com/track/48rZVgAGm0OlbbxjikCpqm
39,Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
40,"Capitalize Off Pain","Big $tunt",https://open.spotify.com/track/7x3vcsxOTWQm3FxRrUEqzv
41,Reveries,"Ava Cerasoli",https://open.spotify.com/track/2Wq70oxNy3i4KOW175fUs2
42,"Susurro Riddim",LASTMONDAY,https://open.spotify.com/track/1mGxiXPxKIuItW4D2eVgjI
43,"This Is Halloween","The Citizens of Halloween",https://open.spotify.com/track/0yURuYmnz9tl4K04e5Y6aQ
44,Wonder,"Shawn Mendes",https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
45,"This Side of Paradise","Coyote Theory",https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i
46,"Blueberry Eyes (feat. SUGA of BTS)",MAX,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
47,"BookBag 2.0 (feat. Polo G)",BigKayBeezy,https://open.spotify.com/track/0vwOWwl785S9EU1wtbeLLJ
48,"Unsaid Emily (feat. Charlie Gillespie)","Julie and the Phantoms Cast",https://open.spotify.com/track/2vEDOWuYM6r2LO9HXI47F1
49,"Without You","Luke Combs",https://open.spotify.com/track/3zxAw8PaqpeGZ3Pakkxv3J
50,"Fire for You",Cannons,https://open.spotify.com/track/4o0LyB69tylqDG6eTGhmig
