,Position,Track Name,Artist,Streams,URL,Filename,1,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,No Wind Resistance!,Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,Die Very Rough,Mario Judah,https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff,E-GIRLS ARE RUINING MY LIFE!,CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve,Gdzie jest biały węgorz ? (Zejście),Cypis,https://open.spotify.com/track/4fNbS43X6yt4iWxLgRqwKa,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,Mayonaka no Door / Stay With Me,Miki Matsubara,https://open.spotify.com/track/2BHj31ufdEqVK5CkYDp9mA
0,1.0,WAP (feat. Megan Thee Stallion),Cardi B,18436479.0,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,Laugh Now Cry Later (feat. Lil Durk),Drake,12108138.0,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,Mood (feat. iann dior),24kGoldn,8682698.0,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,Dynamite,BTS,8547583.0,https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,ROCKSTAR (feat. Roddy Ricch),DaBaby,7296587.0,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,6627294.0,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,Wishing Well,Juice WRLD,6580212.0,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,6481743.0,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,Come & Go (with Marshmello),Juice WRLD,6168866.0,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,Smile (with The Weeknd),Juice WRLD,5821869.0,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,Watermelon Sugar,Harry Styles,5602418.0,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,Mood Swings (feat. Lil Tjay),Pop Smoke,5458489.0,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.0,Heather,Conan Gray,5257576.0,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14.0,Blinding Lights,The Weeknd,5243149.0,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15.0,Lemonade,Internet Money,5231942.0,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16.0,Blueberry Faygo,Lil Mosey,4667530.0,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17.0,7 Summers,Morgan Wallen,4610036.0,https://open.spotify.com/track/0Z0kNthq0sS4lvGz9SSlBF,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,Savage Love (Laxed - Siren Beat),Jawsh 685,4604933.0,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19.0,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,4479708.0,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20.0,Go Crazy,Chris Brown,3952410.0,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21.0,Roses - Imanbek Remix,SAINt JHN,3936515.0,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22.0,GREECE (feat. Drake),DJ Khaled,3863281.0,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23.0,POPSTAR (feat. Drake),DJ Khaled,3732789.0,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24.0,Midnight Sky,Miley Cyrus,3695377.0,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25.0,Party Girl,StaySolidRocky,3687792.0,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26.0,Tap In,Saweetie,3503180.0,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27.0,Conversations,Juice WRLD,3467052.0,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28.0,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,3440741.0,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29.0,The Box,Roddy Ricch,3439613.0,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30.0,Be Like That - feat. Swae Lee & Khalid,Kane Brown,3403502.0,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31.0,We Paid (feat. 42 Dugg),Lil Baby,3384686.0,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32.0,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,3346152.0,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33.0,cardigan,Taylor Swift,3327554.0,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34.0,my ex's best friend (with blackbear),Machine Gun Kelly,3248310.0,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35.0,Lucid Dreams,Juice WRLD,3242859.0,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36.0,All Girls Are The Same,Juice WRLD,3240218.0,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37.0,Circles,Post Malone,3218402.0,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38.0,death bed (coffee for your head),Powfu,3193928.0,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39.0,my future,Billie Eilish,3141905.0,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40.0,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3121314.0,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41.0,exile (feat. Bon Iver),Taylor Swift,3119759.0,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42.0,"The Plan - From the Motion Picture ""TENET""",Travis Scott,3111923.0,https://open.spotify.com/track/551xyaSJsg8hILXFq9JdST,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43.0,Rags2Riches 2 (feat. Lil Baby),Rod Wave,3111903.0,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44.0,Electric Love,BØRNS,3087127.0,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45.0,Robbery,Juice WRLD,3073106.0,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46.0,Righteous,Juice WRLD,3064701.0,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47.0,Got It On Me,Pop Smoke,3031655.0,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48.0,21,Polo G,2965806.0,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49.0,the 1,Taylor Swift,2939497.0,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50.0,After Party,Don Toliver,2804934.0,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
