,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
0,1,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6owH8F2INpb18PhnISiVh2,future funk,,
1,2,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,1lmU3giNF3CSbkVSQmLpHQ,tropical house,,
2,3,Con Tus Besos,Eslabon Armado,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,0XeEobZplHxzM9QzFQWLiR,corridos tumbados,nuevo regional mexicano,sierreno
3,4,LMK,Lil Xxel,https://open.spotify.com/track/0efL46uAuNEfukXQYsbPlX,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,7iDeMFJKjI1ak40N3hoYOZ,pop r&b,,
4,5,Yoga,645AR,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3Iv3mOsjFV8vZkXphpQ8hz,unspecified,,
5,6,Rockstar Shit,BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6SSQog9cu2XcgHTRHPmECq,viral rap,,
6,7,Desires (with Future),Drake,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
7,8,Play Date,Melanie Martinez,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,63yrD80RY3RNEM2YDpUpO8,alt z,dance pop,electropop
8,9,IDK You Yet,Alexander 23,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6sFHvCyqklnJpXC9Nh1aag,alt z,electropop,indie cafe pop
9,10,Don't Rush (feat. Headie One),Young T & Bugsey,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6M6XXCcO5gI68XpIlrUL3Z,afroswing,uk hip hop,
10,11,I Like Him,Princess Nokia,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6lay1nwbE6hTx1jivysUAL,escape room,lgbtq+ hip hop,trap queen
11,12,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3O5HD95HTEPgoPFOjAb7yV,viral rap,,
12,13,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,0H39MdGGX6dbnnQPt6NQkZ,melodic rap,rap,slap house
13,14,Deep End Freestyle,Sleepy Hallow,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6EPlBSH2RSiettczlz7ihV,brooklyn drill,nyc rap,
