,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
0,1,THE SCOTTS,THE SCOTTS,12864147,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,2PaZWGu5T5nHjY2xxAkFsT,unspecified,,
1,2,Toosie Slide,Drake,11648985,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
2,3,Pain 1993 (with Playboi Carti),Drake,10082722,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
3,4,ROCKSTAR (feat. Roddy Ricch),DaBaby,10028561,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
4,5,Savage Remix (feat. Beyoncé),Megan Thee Stallion,8965215,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,181bsRPaVXVlUKXrxwZfHK,houston rap,pop,pop rap
5,6,Blueberry Faygo,Lil Mosey,8489106,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5zctI4wO9XSKS8XwcnqEHk,melodic rap,rap,rap conscient
6,7,Blinding Lights,The Weeknd,8412384,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
7,8,The Box,Roddy Ricch,7745369,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
8,9,Righteous,Juice WRLD,7615715,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
9,10,Chicago Freestyle (feat. Giveon),Drake,7480929,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
10,11,Roses - Imanbek Remix,SAINt JHN,6495557,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0H39MdGGX6dbnnQPt6NQkZ,melodic rap,rap,slap house
11,12,Say So,Doja Cat,6005074,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
12,13,Be Kind (with Halsey),Marshmello,5985143,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,64KEffDW9EtZ1y2vBYgq8T,brostep,edm,pop
13,14,WHATS POPPIN,Jack Harlow,5947153,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,2LIk90788K0zvyj2JJVwkJ,deep underground hip hop,kentucky hip hop,pop rap
14,15,D4L,Future,5590704,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
15,16,Demons (feat. Fivio Foreign & Sosa Geek),Drake,5402886,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
16,17,Time Flies,Drake,5258001,https://open.spotify.com/track/5H4mXWKcicuLKDn4Jy0sK7,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
17,18,Desires (with Future),Drake,5121049,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
18,19,death bed (coffee for your head),Powfu,4888955,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6bmlMHgSheBauioMgKv2tn,emo rap,sad rap,
19,20,Not You Too (feat. Chris Brown),Drake,4826026,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
20,21,Don't Start Now,Dua Lipa,4805920,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6M2wZ9GZgrQXHCFfjv46we,dance pop,pop,uk pop
21,22,Walk Em Down (feat. Roddy Ricch),NLE Choppa,4676683,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0ErzCpIMyLcjPiwT4elrtZ,memphis hip hop,,
22,23,Circles,Post Malone,4674869,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
23,24,Life Is Good (feat. Drake),Future,4672027,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,pop rap,rap
24,25,Sunday Best,Surfaces,4637028,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4ETSs924pXMzjIeD6E9b4u,bedroom soul,pop,
25,26,Landed,Drake,4593211,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
26,27,Intentions (feat. Quavo),Justin Bieber,4583529,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1uNFoZAHBGtllmzznpCI3s,canadian pop,pop,post-teen pop
27,28,Deep Pockets,Drake,4546356,https://open.spotify.com/track/3IvMYBE7A3c7to1aEcfFJk,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
28,29,When To Say When,Drake,4510858,https://open.spotify.com/track/5TCBWmEBrin7etRa4Lswr1,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
29,30,goosebumps,Travis Scott,4338751,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0Y5tJX1MQlPlqiwlOH1tJY,rap,slap house,
30,31,From Florida With Love,Drake,4166991,https://open.spotify.com/track/0YkUwXxnTkeJBvt5upeEtP,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
