,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
0,0,1,The Box,Roddy Ricch,18952305,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
1,1,2,ROXANNE,Arizona Zervas,9671478,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
2,2,3,Yummy,Justin Bieber,9648561,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,1uNFoZAHBGtllmzznpCI3s,canadian pop,pop,post-teen pop
3,3,4,Circles,Post Malone,8244725,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
4,4,5,BOP,DaBaby,7985170,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
5,5,6,Falling,Trevor Daniel,7503297,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,7uaIm6Pw7xplS8Dy06V6pT,alternative r&b,melodic rap,pop rap
6,6,7,Dance Monkey,Tones And I,6986158,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,2NjfBq1NflQcKSeiDooVjY,australian pop,pop,
7,7,8,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6938158,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
8,8,9,Futsal Shuffle 2020,Lil Uzi Vert,6802710,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
9,9,10,everything i wanted,Billie Eilish,6181388,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,regional-us-weekly-2020-01-03--2020-01-10.csv,January,1,Top 200,2020-01-03,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
