,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date
0,1,positions,Ariana Grande,8890496,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
1,2,DÁKITI,Bad Bunny,7709625,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
2,3,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,7528691,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
3,4,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,6146007,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
4,5,34+35,Ariana Grande,6059066,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
5,6,Mood (feat. iann dior),24kGoldn,5984515,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
6,7,WAP (feat. Megan Thee Stallion),Cardi B,5910738,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
7,8,What You Know Bout Love,Pop Smoke,5509689,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
8,9,Laugh Now Cry Later (feat. Lil Durk),Drake,5296245,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
9,10,pov,Ariana Grande,4876988,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
10,11,Lonely (with benny blanco),Justin Bieber,4756736,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
11,12,Tyler Herro,Jack Harlow,4600153,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
12,13,SO DONE,The Kid LAROI,4407050,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
13,14,Holy (feat. Chance The Rapper),Justin Bieber,4163321,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
14,15,Come & Go (with Marshmello),Juice WRLD,4147774,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,regional-us-weekly-2020-11-06--2020-11-13.csv,November,45,Top 200,2020-11-06
