,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
0,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
1,2,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
2,3,Blueberry Fergo,Lil Monet,https://open.spotify.com/track/6CrMU5zXlKNGsipNhiu7hN,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,19FsxZm98evcrjWFFhHnC4,unspecified,,
3,4,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
4,5,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,16Nc36xAtNyQ7BMBcDsaLv,cali rap,,
5,6,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,4Gso3d4CscCijv0lmajZWs,rap,trap,
6,7,When There Was Me and You,Joshua Bassett,https://open.spotify.com/track/0vS9Gkt1dAT2PBBiaPqcA4,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,1YWJ1WjMkBCB1X3QOJ1Wdn,social media pop,,
7,8,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,0JDVDA5aG4Y2wXylqghzC6,modern indie pop,,
8,9,Crunk Ain't Dead,Duke Deuce,https://open.spotify.com/track/4RsTfAuTiUyL7GKGPiNC0w,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,24zj84GShUIcBQYq6VpOYW,atl trap,memphis hip hop,trap
9,10,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
