,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
0,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,10375792,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
1,2,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7298716,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
2,3,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,7189682,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
3,4,Watermelon Sugar,Harry Styles,6689854,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
4,5,Blueberry Faygo,Lil Mosey,6492849,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
5,6,Party Girl,StaySolidRocky,6433310,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
6,7,Blinding Lights,The Weeknd,6411195,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
7,8,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,6346415,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
8,9,Savage Love (Laxed - Siren Beat),Jawsh 685,5276143,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
9,10,We Paid (feat. 42 Dugg),Lil Baby,5217598,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
10,11,THE SCOTTS,THE SCOTTS,5027388,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
11,12,The Box,Roddy Ricch,4930664,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
12,13,Roses - Imanbek Remix,SAINt JHN,4738035,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
13,14,Toosie Slide,Drake,4405390,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
14,15,Got It On Me,Pop Smoke,4359800,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
15,16,The Bigger Picture,Lil Baby,4288621,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
16,17,Savage Remix (feat. Beyoncé),Megan Thee Stallion,4255225,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
17,18,Dior,Pop Smoke,4250482,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
18,19,Sunday Best,Surfaces,4157094,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
19,20,Rain On Me (with Ariana Grande),Lady Gaga,4147717,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
20,21,After Party,Don Toliver,4082970,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
21,22,WHATS POPPIN,Jack Harlow,3927468,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
22,23,death bed (coffee for your head),Powfu,3901561,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
23,24,Aim For The Moon (feat. Quavo),Pop Smoke,3817303,https://open.spotify.com/track/6O7fPYTsb2mY0PiFt2ymDB,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
24,25,Make It Rain (feat. Rowdy Rebel),Pop Smoke,3771274,https://open.spotify.com/track/71d7LaAgPcNcUopu3OzmP7,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
25,26,Walk Em Down (feat. Roddy Ricch),NLE Choppa,3736766,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
26,27,Gangstas,Pop Smoke,3720043,https://open.spotify.com/track/1hg3RlqFZXJb5YgRoK9qmF,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
27,28,Intentions (feat. Quavo),Justin Bieber,3683263,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
28,29,Circles,Post Malone,3638785,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
29,30,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3602528,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
30,31,44 BullDog,Pop Smoke,3564802,https://open.spotify.com/track/7sjFIZ1g5QLJLGja3k592K,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
31,32,Chicago Freestyle (feat. Giveon),Drake,3555520,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
32,33,Wash Us In The Blood,Kanye West,3530365,https://open.spotify.com/track/7mEUjhl6aTztdHCrxoTgBG,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
33,34,GO (feat. Juice WRLD),The Kid LAROI,3501099,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
34,35,Something Special,Pop Smoke,3379826,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
35,36,Flex (feat. Juice WRLD),Polo G,3355113,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
36,37,Creature (feat. Swae Lee),Pop Smoke,3347767,https://open.spotify.com/track/3eV2WT9YhfzkxbufnBF8wK,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
