,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type
0,1,I See Red,Everybody Loves an Outlaw,https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
1,2,Then Leave (feat. Queendom Come),BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
2,3,Stunnin' (feat. Harm Franklin),Curtis Waters,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
3,4,Hood Baby,KBFR,https://open.spotify.com/track/5au5NgWCdev4WeLRB3YEOR,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
4,5,Hard For Me,Michele Morrone,https://open.spotify.com/track/00PesUdTmC3Y5xtZbZND0p,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
5,6,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
6,7,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
7,8,Como Llora,Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
8,9,Do It,Chloe x Halle,https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
9,10,SAD - Imanbek xxx Remix,Rasster,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
10,11,Both Of Us - Edit,Jayda G,https://open.spotify.com/track/75rGONmoi48LLYBFaGiYsv,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
11,12,Control,Zoe Wees,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
