,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
0,0,1,The Box,Roddy Ricch,15264900,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
1,1,2,Blinding Lights,The Weeknd,8663011,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
2,2,3,Say So,Doja Cat,8494545,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
3,3,4,Blueberry Faygo,Lil Mosey,8366456,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5zctI4wO9XSKS8XwcnqEHk,melodic rap,rap,rap conscient
4,4,5,Intentions (feat. Quavo),Justin Bieber,8139379,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,1uNFoZAHBGtllmzznpCI3s,canadian pop,pop,post-teen pop
5,5,6,Life Is Good (feat. Drake),Future,7815588,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,pop rap,rap
6,6,7,That Way,Lil Uzi Vert,7756870,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
7,7,8,Stupid Love,Lady Gaga,7497882,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,1HY2Jd0NmPuamShAr6KMms,dance pop,pop,post-teen pop
8,8,9,ROXANNE,Arizona Zervas,7035145,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
9,9,10,High Fashion (feat. Mustard),Roddy Ricch,6813218,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
10,10,11,Heatin Up (feat. Gunna),Lil Baby,6682754,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
11,11,12,Don't Start Now,Dua Lipa,6659492,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,6M2wZ9GZgrQXHCFfjv46we,dance pop,pop,uk pop
12,12,13,La Difícil,Bad Bunny,6416438,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
13,13,14,WHATS POPPIN,Jack Harlow,6320293,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,2LIk90788K0zvyj2JJVwkJ,deep underground hip hop,kentucky hip hop,pop rap
14,14,15,Ignorantes,Bad Bunny,6300993,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
15,15,16,Si Veo a Tu Mamá,Bad Bunny,6277199,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
16,16,17,Circles,Post Malone,6198842,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
17,17,18,Falling,Trevor Daniel,6043376,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,7uaIm6Pw7xplS8Dy06V6pT,alternative r&b,melodic rap,pop rap
18,18,19,After Hours,The Weeknd,5757047,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
19,19,20,Woah,Lil Baby,5545953,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
20,20,21,Dance Monkey,Tones And I,5478360,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,2NjfBq1NflQcKSeiDooVjY,australian pop,pop,
21,21,22,Godzilla (feat. Juice WRLD),Eminem,5417919,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,hip hop,rap
22,22,23,Vete,Bad Bunny,5260920,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
23,23,24,La Santa,Bad Bunny,5243371,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
24,24,25,Adore You,Harry Styles,5200123,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
25,25,26,Sunday Best,Surfaces,5011637,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4ETSs924pXMzjIeD6E9b4u,bedroom soul,pop,
26,26,27,Ballin' (with Roddy Ricch),Mustard,4951041,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,0YinUQ50QDB7ZxSCLyQ40k,cali rap,hip hop,pop rap
27,27,28,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,4898423,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,6AgTAQt8XS6jRWi4sX7w49,chicago rap,,
28,28,29,everything i wanted,Billie Eilish,4886276,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
29,29,30,Live Off My Closet (feat. Future),Lil Baby,4869327,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
30,30,31,Commercial (feat. Lil Uzi Vert),Lil Baby,4715522,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
31,31,32,BOP,DaBaby,4626882,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
32,32,33,Suicidal,YNW Melly,4569409,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
33,33,34,Sum 2 Prove,Lil Baby,4536805,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
34,34,35,Pero Ya No,Bad Bunny,4451510,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
35,35,36,Moral of the Story,Ashe,4315823,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,6P5NO5hzJbuOqSdyPB7SJM,alt z,electropop,indie pop
36,36,37,You should be sad,Halsey,4306820,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,26VFTg2z8YR0cCuwLzESi2,dance pop,electropop,etherpop
37,37,38,death bed (coffee for your head),Powfu,4278455,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,6bmlMHgSheBauioMgKv2tn,emo rap,sad rap,
38,38,39,Yo Perreo Sola,Bad Bunny,4239832,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
39,39,40,No Time To Die,Billie Eilish,4199984,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
40,40,41,Safaera,Bad Bunny,4112557,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
41,41,42,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4068496,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
42,42,43,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4011290,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
43,43,44,PTSD,G Herbo,4010910,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,5QdEbQJ3ylBnc3gsIASAT5,chicago drill,chicago rap,drill
44,44,45,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,4000639,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,31W5EY0aAly4Qieq6OFu6I,melodic rap,pop rap,rap
45,45,46,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,3994236,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
46,46,47,Someone You Loved,Lewis Capaldi,3964906,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4GNC7GD6oZMSxPGyXy4MNB,pop,uk pop,
47,47,48,hot girl bummer,blackbear,3962763,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,2cFrymmkijnjDg9SS92EPM,electropop,pop,pop rap
48,48,49,Forever (feat. Post Malone & Clever),Justin Bieber,3917286,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,1uNFoZAHBGtllmzznpCI3s,canadian pop,pop,post-teen pop
49,49,50,My Oh My (feat. DaBaby),Camila Cabello,3898485,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,regional-us-weekly-2020-02-28--2020-03-06.csv,March,9,Top 200,2020-02-28,4nDoRrQiYLoBzwC5BhVJzF,dance pop,electropop,pop
