,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
0,1,THE SCOTTS,THE SCOTTS,12864147,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
1,2,Toosie Slide,Drake,11648985,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
2,3,Pain 1993 (with Playboi Carti),Drake,10082722,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
3,4,ROCKSTAR (feat. Roddy Ricch),DaBaby,10028561,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
4,5,Savage Remix (feat. Beyoncé),Megan Thee Stallion,8965215,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
5,6,Blueberry Faygo,Lil Mosey,8489106,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
6,7,Blinding Lights,The Weeknd,8412384,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
7,8,The Box,Roddy Ricch,7745369,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
8,9,Righteous,Juice WRLD,7615715,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
9,10,Chicago Freestyle (feat. Giveon),Drake,7480929,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
