,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type
0,1,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
1,2,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
2,3,Con Tus Besos,Eslabon Armado,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
3,4,LMK,Lil Xxel,https://open.spotify.com/track/0efL46uAuNEfukXQYsbPlX,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
4,5,Yoga,645AR,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
5,6,Rockstar Shit,BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
6,7,Desires (with Future),Drake,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
7,8,Play Date,Melanie Martinez,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
8,9,IDK You Yet,Alexander 23,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
9,10,Don't Rush (feat. Headie One),Young T & Bugsey,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
10,11,I Like Him,Princess Nokia,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
11,12,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
12,13,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
13,14,Deep End Freestyle,Sleepy Hallow,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
14,15,LEMONS - Demo,Brye,https://open.spotify.com/track/5ukAQcKEIJuzIbP55xp07x,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
15,16,It's You (I've Been Looking for),Lewis Brice,https://open.spotify.com/track/3CetlHFPPW1SF9mQB7fKti,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
16,17,Level of Concern,Twenty One Pilots,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
17,18,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
18,19,XS,Rina Sawayama,https://open.spotify.com/track/3OK3uq0udXEDfEo7bvpNHW,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
19,20,(i hope you) miss me,Joseph Black,https://open.spotify.com/track/1Zv2jT7iZu98Feqpzhn0nd,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
20,21,Toosie Slide,Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
21,22,death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
22,23,After Party,Don Toliver,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
23,24,Finesse,Bryson Tiller,https://open.spotify.com/track/4VjGRnrVnqy5eN45aokIzT,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
24,25,El Envidioso,Los Dos Carnales,https://open.spotify.com/track/3cExeifTyKQSMLLwG70wIo,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
25,26,War,Drake,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
26,27,The Blessing (Live),Elevation Worship,https://open.spotify.com/track/5O306r2a9Nl7rm5ZlaTqka,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
27,28,Break Things,Kylie Morgan,https://open.spotify.com/track/45hbxz8xCxQfa9vmnV187v,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
28,29,Breaking Me,Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
29,30,Graves Into Gardens (Live),Elevation Worship,https://open.spotify.com/track/4wc8FpW9XCUaoxtii3CiCf,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
