,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date
0,1,WAP (feat. Megan Thee Stallion),Cardi B,15398897,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
1,2,Mood (feat. iann dior),24kGoldn,10323110,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
2,3,Laugh Now Cry Later (feat. Lil Durk),Drake,9934418,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
3,4,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7522385,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
4,5,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,6743659,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
5,6,ROCKSTAR (feat. Roddy Ricch),DaBaby,6587105,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
6,7,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,6047672,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
7,8,Wishing Well,Juice WRLD,5791822,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
8,9,Heather,Conan Gray,5760007,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
9,10,Come & Go (with Marshmello),Juice WRLD,5603140,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
10,11,Watermelon Sugar,Harry Styles,5239672,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
11,12,Dynamite,BTS,5194330,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
12,13,Mood Swings (feat. Lil Tjay),Pop Smoke,5171081,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
13,14,Blinding Lights,The Weeknd,5169706,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
14,15,POPSTAR (feat. Drake),DJ Khaled,4860485,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
15,16,Smile (with The Weeknd),Juice WRLD,4785825,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
16,17,Blueberry Faygo,Lil Mosey,4427130,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
17,18,Hit Different,SZA,4371275,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
18,19,Savage Love (Laxed - Siren Beat),Jawsh 685,4172950,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
19,20,Wolves (feat. Post Malone),Big Sean,3921586,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
20,21,my ex's best friend (with blackbear),Machine Gun Kelly,3837578,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
